Sl. No,States/UT,Population Growth Rate,,
1,NCT of Delhi,18.3,,
2,Bihar,14.4,,
3,Jharkhand,12.5,,
4,Haryana,12,,
5,Gujarat,12,,
6,Madhya Pradesh,11.8,,
7,Chhattisgarh,11.3,,
8,Rajasthan,10.7,,
9,Uttarakhand,10.1,,
10,Uttar Pradesh,10.1,,
11,Assam,9.3,,
12,North-East States (Excluding Assam),9.1,,
13,Maharashtra,7.7,,
14,Jammu and Kashmir,7.2,,
15,Punjab,6.4,,
16,Odisha,6.3,,
17,Karnataka,6.2,,
18,Himachal Pradesh,5,,
19,West Bengal,4.8,,
20,Kerala,4,,
21,Andhra Pradesh,3.5,,
22,Telangana,3.5,,
23,Tamil Nadu,3,,
